Paid Price,Postcode,Type,LSOA,total_floor_area_m2,Employment,Health,Crime,Income,Education,Address
975000,EN2 9AD,S,E01001413,172,25377,25878,20471,71765,47.5,2B CONWAY GARDENS
975000,EN2 9AD,S,E01001413,172,25377,25878,20471,71765,47.5,2E CONWAY GARDENS
947250,BA2 6HP,S,E01014380,142,33735,33355,33741,70731,49.6,HUNTERS LODGE NORTH ROAD
4834000,BA2 6JP,D,E01014381,606,33274,33361,25613,70731,49.6,15 CLEVELAND WALK
897500,EN2 9AW,S,E01001413,162,25377,25878,20471,71765,47.5,96 CLAY HILL
1050000,EN4 9NE,S,E01001415,200,16226,25812,13392,85758,47.5,11 HEDDON COURT AVENUE
1320500,EN4 0BT,S,E01001417,127,32205,32999,21928,85758,47.5,32 SASSOON DRIVE
1320500,EN4 0BT,S,E01001417,127,32205,32999,21928,85758,47.5,30 SASSOON DRIVE
1664700,EN4 0BW,S,E01001417,174,32205,32999,21928,85758,47.5,21 ROOKERY LANE
1852500,EN4 0FH,T,E01001417,218,32205,32999,21928,85758,47.5,10 CHAPLIN DRIVE
1898000,EN4 0HR,D,E01001417,310,32205,32999,21928,85758,47.5,29 CLAREMONT ROAD
169950,BA3 3BX,F,E01014470,48,24963,25205,25403,49334,49.6,37 COBBLERS WAY
235000,BA3 3XT,T,E01014470,64,24963,25205,25403,49334,49.6,3 INNER ELM TERRACE
249950,BA3 3YD,T,E01014470,79,24963,25205,25403,49334,49.6,14 WATERSIDE CRESCENT
250000,BA3 3YE,T,E01014470,67,24963,25205,25403,49334,49.6,29 WATERSIDE ROAD
450000,BA3 3EQ,D,E01014448,141,8055,11873,10918,50785,49.6,60 BRISTOL ROAD
310000,BA3 3FT,S,E01014451,81,12506,15561,12784,50785,49.6,19 FOXHILLS CLOSE
230000,BA3 3PS,T,E01014451,80,12506,15561,12784,50785,49.6,5 RIVERSIDE COTTAGES
287500,BA3 3HE,T,E01014449,80,22526,24635,23164,50785,49.6,84 BATH OLD ROAD
243000,BA3 3JR,T,E01014449,69,22526,24635,23164,50785,49.6,26 STONEABLE ROAD
330000,BA3 3LH,S,E01014449,86,22526,24635,23164,50785,49.6,32 MAPLE RISE
398000,EN3 5ES,T,E01001433,101,3118,11401,11581,66671,47.5,179 BRIMSDOWN AVENUE
260000,BA3 3LN,T,E01014450,73,8857,13065,16299,50785,49.6,97 FROME ROAD
315000,BA3 3NF,S,E01014450,99,8857,13065,16299,50785,49.6,8 MANOR TERRACE
460000,EN3 7JD,S,E01001436,100,7049,19686,10374,66671,47.5,50 CEDAR AVENUE
295000,BA3 3TH,T,E01014471,83,18993,22024,19937,49334,49.6,43 BEECH TERRACE
280000,BA3 3UY,S,E01014471,69,18993,22024,19937,49334,49.6,7 CHESTNUT CLOSE
323000,BA3 3UU,S,E01014469,119,7955,10980,10798,49334,49.6,31 RUSKIN ROAD
273000,EN3 5AP,F,E01001440,82,6067,16284,7106,60622,47.5,15 YEOMANS WAY
400000,EN3 5PX,T,E01001441,79,3648,17764,4881,56427,47.5,39 ELMORE ROAD
